generics,product_name,dosage_form,strength,company,unit_price,strip_price,pack_size,pack_type
cephalexin,G-Cephalexin,Capsule,250 mg,Gonoshasthaya Pharma Ltd.,4.0,200.0,50's,pack
cephalexin,Hi-cef,Powder for Suspension,125 mg/5 ml,Hudson Pharmaceuticals Ltd.,70.0,,100 ml,bottle
cephalexin,Hi-cef,Capsule,500 mg,Hudson Pharmaceuticals Ltd.,10.5,525.0,50's,pack
cephalexin,Navalexin,Capsule,250 mg,Navana Pharmaceuticals Ltd.,5.0,500.0,10 x 10 pcs,strip
cephalexin,Navalexin,Capsule,500 mg,Navana Pharmaceuticals Ltd.,9.0,450.0,5 x 10 pcs,strip
cephalexin,Navalexin,Powder for Suspension,125 mg/5 ml,Navana Pharmaceuticals Ltd.,80.0,,100 ml,bottle
cephalexin,Neorex,Capsule,250 mg,Eskayef Pharmaceuticals Ltd.,6.6,660.0,10 x 10 pcs,strip
cephalexin,Neorex,Powder for Suspension,125 mg/5 ml,Eskayef Pharmaceuticals Ltd.,83.5,,100 ml,bottle
cephalexin,Neorex,Capsule,500 mg,Eskayef Pharmaceuticals Ltd.,12.5,625.0,5 x 10 pcs,strip
cephalexin,Seemacheph,Powder for Suspension,125 mg/5 ml,Seema Pharmaceuticals Ltd.,77.0,,100 ml,bottle
cephalexin,Seemacheph,Capsule,500 mg,Seema Pharmaceuticals Ltd.,12.4,620.0,50's,pack
cephalexin,Selex,Capsule,500 mg,Orion Pharma Ltd.,12.43,372.9,3 x 10 pcs,strip
cephalexin,Selex,Powder for Suspension,125 mg/5 ml,Orion Pharma Ltd.,82.0,,100 ml,bottle
cephalexin,Sulpralex,Capsule,500 mg,Biopharma Limited,12.05,361.5,3 x 10 pcs,strip
cephalexin,Sulpralex,Capsule,250 mg,Biopharma Limited,6.52,195.6,3 x 10 pcs,strip
cephalexin,UCEP,Capsule,250 mg,Union Pharmaceuticals Ltd,6.65,199.5,3 x 10 pcs,strip
probiotic-combination-14-strains,Bio-Kult,Capsule,N/A,"UniMed UniHealth Pharmaceuticals Ltd.
(Mfg. by: ADM Protexin Ltd)",50.0,1500.0,3 x 10 pcs,strip
benzathine-penicillin,Benzapen,Injection,12 lac units/vial,Square Pharmaceuticals PLC,30.0,300.0,1 x 10 pcs,vial
benzathine-penicillin,G-Benzathine Penicil,Injection,12 lac units/vial,Gonoshasthaya Pharma Ltd.,22.0,,12 lac,vial
benzathine-penicillin,G-Benzathine Penicil,Injection,6 lac units/vial,Gonoshasthaya Pharma Ltd.,15.0,,6 lac,vial
benzathine-penicillin,Lapen,Injection,12 lac units/vial,Jayson Pharmaceutical Ltd.,20.0,100.0,1 x 5 pcs,vial
benzathine-penicillin,Lapen,Injection,6 lac units/vial,Jayson Pharmaceutical Ltd.,14.6,73.0,1 x 5 pcs,vial
probiotic-combination-23-billion,Acteria Femina,Capsule (Delayed Release),2.3 Billion,Radiant Pharmaceuticals Ltd.,40.0,800.0,2 x 10 pcs,strip
probiotic-combination-23-billion,Gynolac,Capsule,2.3 billion,Drug International Ltd.,25.0,800.0,8 x 4 pcs,strip
probiotic-combination-23-billion,Luvena,Capsule,3.2 billion,Incepta Pharmaceuticals Ltd.,35.0,700.0,5 x 4 pcs,strip
ofloxacin,Flocet,Tablet,200 mg,Opsonin Pharma Ltd.,12.05,241.0,2 x 10 pcs,strip
ofloxacin,Flocet,Tablet,400 mg,Opsonin Pharma Ltd.,22.08,220.8,1 x 10 pcs,strip
ofloxacin,Flocet,IV Infusion,200 mg/100 ml,Opsonin Pharma Ltd.,120.37,,100 ml,vial
ofloxacin,Obactin,Ophthalmic Solution,0.3%,Ibn Sina Pharmaceuticals Ltd.,85.0,,5 ml,drop
ofloxacin,Oflacin,Tablet,200 mg,Drug International Ltd.,12.0,240.0,2 x 10 pcs,strip
ofloxacin,Oflacin,Tablet,400 mg,Drug International Ltd.,22.0,440.0,2 x 10 pcs,strip
ofloxacin,Ofloxacin-POS,Ophthalmic Solution,0.3%,ZAS Corporation,1170.0,,5 ml,drop
ofloxacin,Rutix,Tablet,200 mg,Square Pharmaceuticals PLC,12.09,362.7,3 x 10 pcs,strip
ofloxacin,Rutix,Tablet,400 mg,Square Pharmaceuticals PLC,22.14,442.8,2 x 10 pcs,strip
ofloxacin,Vista,Ophthalmic Solution,0.3%,Aristopharma Ltd.,85.0,,5 ml,drop
thalidomide,Midothal,Capsule,50 mg,Incepta Pharmaceuticals Ltd.,30.0,900.0,3 x 10 pcs,strip
thalidomide,Thalamia,Capsule,50 mg,Everest Pharmaceuticals Ltd.,50.0,1500.0,3 x 10 pcs,strip
thalidomide,Thalimide,Capsule,50 mg,Beacon Pharmaceuticals PLC,50.0,1500.0,3 x 10 pcs,strip
thalidomide,Thalimide,Capsule,100 mg,Beacon Pharmaceuticals PLC,90.0,2700.0,5 x 6 pcs,strip
cefaclor-monohydrate,Abaclor,Powder for Suspension,125 mg/5 ml,ACI Limited,280.0,,100 ml,bottle
cefaclor-monohydrate,Abaclor,Capsule,250 mg,ACI Limited,21.14,422.8,2 x 10 pcs,strip
cefaclor-monohydrate,Abaclor,Pediatric Drops,125 mg/1.25 ml,ACI Limited,135.0,,15 ml,bottle
cefaclor-monohydrate,Abaclor,Capsule,500 mg,ACI Limited,40.27,483.24,2 x 6 pcs,strip
cefaclor-monohydrate,Alclor,Capsule,500 mg,ACME Laboratories Ltd.,40.1,802.0,4 x 5 pcs,strip
cefaclor-monohydrate,Alclor,Pediatric Drops,125 mg/1.25 ml,ACME Laboratories Ltd.,135.0,,15 ml,bottle
cefaclor-monohydrate,Alclor,Powder for Suspension,125 mg/5 ml,ACME Laboratories Ltd.,190.0,,100 ml,bottle
cefaclor-monohydrate,Ceflon,Powder for Suspension,125 mg/5 ml,Eskayef Pharmaceuticals Ltd.,200.0,,100 ml,bottle
cefaclor-monohydrate,Ceflon,Capsule,500 mg,Eskayef Pharmaceuticals Ltd.,30.0,240.0,1 x 8 pcs,strip
cefaclor-monohydrate,Ceflon,Capsule,250 mg,Eskayef Pharmaceuticals Ltd.,16.0,256.0,2 x 8 pcs,strip
cefaclor-monohydrate,Ceflon,Pediatric Drops,125 mg/1.25 ml,Eskayef Pharmaceuticals Ltd.,135.0,,15 ml,bottle
cefaclor-monohydrate,CFL,Powder for Suspension,125 mg/5 ml,Sharif Pharmaceuticals Ltd.,190.58,,100 ml,bottle
cefaclor-monohydrate,CFL,Pediatric Drops,125 mg/1.25 ml,Sharif Pharmaceuticals Ltd.,125.37,,15 ml,bottle
cefaclor-monohydrate,Clobac,Pediatric Drops,125 mg/1.25 ml,Opsonin Pharma Ltd.,125.47,,15 ml,bottle
cefaclor-monohydrate,Clobac,Powder for Suspension,125 mg/5 ml,Opsonin Pharma Ltd.,180.68,,100 ml,bottle
cefaclor-monohydrate,Clocef,Capsule,500 mg,Amico Laboratories Ltd.,45.0,360.0,8's,pack
cefaclor-monohydrate,Clocef,Powder for Suspension,125 mg/5 ml,Amico Laboratories Ltd.,175.0,,100 ml,bottle
cefaclor-monohydrate,Clorocef,Capsule,500 mg,Ibn Sina Pharmaceuticals Ltd.,40.0,480.0,3 x 4 pcs,strip
cefaclor-monohydrate,Clorocef,Capsule,250 mg,Ibn Sina Pharmaceuticals Ltd.,22.0,264.0,3 x 4 pcs,strip
cefaclor-monohydrate,Clorocef,Powder for Suspension,125 mg/5 ml,Ibn Sina Pharmaceuticals Ltd.,205.0,,100 ml,bottle
cefaclor-monohydrate,Clorocef,Pediatric Drops,125 mg/1.25 ml,Ibn Sina Pharmaceuticals Ltd.,130.0,,15 ml,bottle
cefaclor-monohydrate,Loracef,Pediatric Drops,125 mg/1.25 ml,Square Pharmaceuticals PLC,135.0,,15 ml,bottle
cefaclor-monohydrate,Loracef,Powder for Suspension,125 mg/5 ml,Square Pharmaceuticals PLC,201.0,,100 ml,bottle
cefaclor-monohydrate,Navacef,Pediatric Drops,125 mg/1.25 ml,Navana Pharmaceuticals Ltd.,135.0,,15 ml,bottle
cefaclor-monohydrate,Navacef,Powder for Suspension,125 mg/5 ml,Navana Pharmaceuticals Ltd.,130.87,,60 ml,bottle
cefaclor-monohydrate,Navacef,Powder for Suspension,125 mg/5 ml,Navana Pharmaceuticals Ltd.,190.27,,100 ml,bottle
cefaclor-monohydrate,Navacef,Capsule,500 mg,Navana Pharmaceuticals Ltd.,40.26,966.24,4 x 6 pcs,strip
cefaclor-monohydrate,Oticef,Powder for Suspension,125 mg/5 ml,Alco Pharma Ltd.,200.6,,100 ml,bottle
cefaclor-monohydrate,Oticef,Pediatric Drops,125 mg/1.25 ml,Alco Pharma Ltd.,125.38,,15 ml,bottle
cefaclor-monohydrate,Oticef,Capsule,500 mg,Alco Pharma Ltd.,40.12,481.44,3 x 4 pcs,strip
cefaclor-monohydrate,Oticlor,Powder for Suspension,125 mg/5 ml,Incepta Pharmaceuticals Ltd.,280.0,,100 ml,bottle
cefaclor-monohydrate,Oticlor,Pediatric Drops,125 mg/1.25 ml,Incepta Pharmaceuticals Ltd.,135.0,,15 ml,bottle
cefaclor-monohydrate,Oticlor,Capsule,500 mg,Incepta Pharmaceuticals Ltd.,40.0,480.0,3 x 4 pcs,strip
cefaclor-monohydrate,Sefalor,Capsule,500 mg,Techno Drugs Ltd.,37.17,446.0,2 x 6 pcs,strip
cefaclor-monohydrate,Sefalor,Powder for Suspension,125 mg/5 ml,Techno Drugs Ltd.,185.86,,100 ml,bottle
cefaclor-monohydrate,Uniclor,Pediatric Drops,125 mg/1.25 ml,Leon Pharmaceuticals Ltd.,125.0,,15 ml,bottle
cefaclor-monohydrate,Xclor,Powder for Suspension,125 mg/5 ml,Orion Pharma Ltd.,190.57,,100 ml,bottle
doripenem,Dionem,IV Infusion,500 mg/vial,Opsonin Pharma Ltd.,2000.0,,500 mg,vial
doripenem,Doriject,IV Infusion,500 mg/vial,Popular Pharmaceuticals Ltd.,2000.0,,500 mg,vial
doripenem,Dorinem,IV Infusion,500 mg/vial,ACI Limited,2006.0,,500 mg,vial
doripenem,Doripen,IV Infusion,500 mg/vial,Eskayef Pharmaceuticals Ltd.,2000.0,,500 mg,vial
doripenem,Doripen,IV Infusion,250 mg/vial,Eskayef Pharmaceuticals Ltd.,1300.0,,250 mg,vial
doripenem,Perinem,IV Infusion,500 mg/vial,Drug International Ltd.,2000.0,,500 mg,vial
imipenem-cilastatin,Cilanem,IV Injection,(500 mg+500 mg)/vial,Eskayef Pharmaceuticals Ltd.,1195.0,,,
imipenem-cilastatin,Cispenam,IV Injection,(500 mg+500 mg)/vial,Incepta Pharmaceuticals Ltd.,1195.0,,,
imipenem-cilastatin,Cispenam,IV Injection,(250 mg+250 mg)/vial,Incepta Pharmaceuticals Ltd.,650.0,,,
imipenem-cilastatin,Imbac,IV Injection,(500 mg+500 mg)/vial,Popular Pharmaceuticals Ltd.,1200.0,,,
imipenem-cilastatin,Iminem,IV Injection,(500 mg+500 mg)/vial,ACI Limited,1203.12,,,
imipenem-cilastatin,Iminem,IV Injection,(250 mg+250 mg)/vial,ACI Limited,650.0,,,
imipenem-cilastatin,Imipen,IV Injection,(500 mg+500 mg)/vial,Techno Drugs Ltd.,1295.0,,,
imipenem-cilastatin,Imipen,IV Injection,(250 mg+250 mg)/vial,Techno Drugs Ltd.,600.0,,,
imipenem-cilastatin,Iropen,IV Injection,(500 mg+500 mg)/vial,Renata PLC,1295.0,,,
imipenem-cilastatin,Maxipen,IV Injection,(500 mg+500 mg)/vial,Opsonin Pharma Ltd.,1298.89,,,
rifampicin-isoniazid-pyrazinamide-ethambutol,Rimstar 4-FDC,Tablet,150 mg+75 mg+400 mg+275 mg,SANDOZ (A Novartis Division),17.0,850.0,5 x 10 pcs,strip
probiotic-combination-bi-07-10-billion,Imugen,Capsule,10 billion,Incepta Pharmaceuticals Ltd.,30.0,600.0,5 x 4 pcs,strip
ceftriaxone-sodium,Aciphin,IM Injection,250 mg/vial,ACI Limited,100.3,,250 mg,vial
ceftriaxone-sodium,Aciphin,IM Injection,500 mg/vial,ACI Limited,145.0,,500 mg,vial
ceftriaxone-sodium,Aciphin,IM Injection,1 gm/vial,ACI Limited,191.29,,1 gm,vial
ceftriaxone-sodium,Aciphin,IV Injection,250 mg/vial,ACI Limited,100.3,,250 mg,vial
ceftriaxone-sodium,Aciphin,IV Injection,500 mg/vial,ACI Limited,145.0,,500 mg,vial
ceftriaxone-sodium,Aciphin,IV Injection,1 gm/vial,ACI Limited,200.0,,1 gm,vial
ceftriaxone-sodium,Aciphin,IV Injection,2 gm/vial,ACI Limited,320.0,,2 gm,vial
ceftriaxone-sodium,Amiphin,IV Injection,2 gm/vial,Al-Madina Pharmaceuticals Ltd.,300.0,,2 gm,vial
ceftriaxone-sodium,Amiphin,IV Injection,1 gm/vial,Al-Madina Pharmaceuticals Ltd.,200.0,,1 gm,vial
ceftriaxone-sodium,Arixon,IM Injection,250 mg/vial,Beximco Pharmaceuticals Ltd.,100.0,,250 mg,vial
ceftriaxone-sodium,Arixon,IM Injection,500 mg/vial,Beximco Pharmaceuticals Ltd.,130.0,,500 mg,vial
ceftriaxone-sodium,Arixon,IM Injection,1 gm/vial,Beximco Pharmaceuticals Ltd.,190.0,,1 gm,vial
ceftriaxone-sodium,Arixon,IV Injection,250 mg/vial,Beximco Pharmaceuticals Ltd.,100.0,,250 mg,vial
ceftriaxone-sodium,Arixon,IV Injection,500 mg/vial,Beximco Pharmaceuticals Ltd.,130.0,,500 mg,vial
ceftriaxone-sodium,Arixon,IV Injection,1 gm/vial,Beximco Pharmaceuticals Ltd.,190.0,,1 gm,vial
ceftriaxone-sodium,Arixon,IV Injection,2 gm/vial,Beximco Pharmaceuticals Ltd.,300.0,,2 gm,vial
ceftriaxone-sodium,Asixone,IV Injection,2 gm/vial,Asiatic Laboratories Ltd.,300.0,,2 gm,vial
ceftriaxone-sodium,Asixone,IV Injection,1 gm/vial,Asiatic Laboratories Ltd.,190.0,,1 gm,vial
ceftriaxone-sodium,Asixone,IM Injection,250 mg/vial,Asiatic Laboratories Ltd.,100.0,,250 mg,vial
ceftriaxone-sodium,Asixone,IV Injection,250 mg/vial,Asiatic Laboratories Ltd.,100.0,,250 mg,vial
ceftriaxone-sodium,Asixone,IV Injection,500 mg/vial,Asiatic Laboratories Ltd.,130.0,,500 mg,vial
ceftriaxone-sodium,Asixone,IM Injection,500 mg/vial,Asiatic Laboratories Ltd.,130.0,,500 mg,vial
ceftriaxone-sodium,Axon,IM Injection,250 mg/vial,Aristopharma Ltd.,100.0,,250 mg,vial
ceftriaxone-sodium,Axon,IM Injection,500 mg/vial,Aristopharma Ltd.,130.0,,500 mg,vial
ceftriaxone-sodium,Axon,IM Injection,1 gm/vial,Aristopharma Ltd.,200.0,,1 gm,vial
ceftriaxone-sodium,Axon,IV Injection,250 mg/vial,Aristopharma Ltd.,100.0,,250 mg,vial
ceftriaxone-sodium,Axon,IV Injection,500 mg/vial,Aristopharma Ltd.,130.0,,500 mg,vial
ceftriaxone-sodium,Axon,IV Injection,1 gm/vial,Aristopharma Ltd.,200.0,,1 gm,vial
ceftriaxone-sodium,Axon,IV Injection,2 gm/vial,Aristopharma Ltd.,300.0,,2 gm,vial
ceftriaxone-sodium,Axosin,IM Injection,250 mg/vial,Ibn Sina Pharmaceuticals Ltd.,90.0,,250 mg,vial
ceftriaxone-sodium,Axosin,IM Injection,500 mg/vial,Ibn Sina Pharmaceuticals Ltd.,120.46,,500 mg,vial
ceftriaxone-sodium,Axosin,IM Injection,1 gm/vial,Ibn Sina Pharmaceuticals Ltd.,180.0,,1 gm,vial
ceftriaxone-sodium,Axosin,IV Injection,500 mg/vial,Ibn Sina Pharmaceuticals Ltd.,120.46,,500 mg,vial
ceftriaxone-sodium,Axosin,IV Injection,1 gm/vial,Ibn Sina Pharmaceuticals Ltd.,180.0,,1 gm,vial
ceftriaxone-sodium,Axosin,IV Injection,2 gm/vial,Ibn Sina Pharmaceuticals Ltd.,290.0,,2 gm,vial
ceftriaxone-sodium,Bakticef,IM Injection,500 mg/vial,OSL Pharma Limited,155.0,,500 mg,vial
ceftriaxone-sodium,Bakticef,IV Injection,1 gm/vial,OSL Pharma Limited,220.0,,1 gm,vial
ceftriaxone-sodium,Bakticef,IV Injection,2 gm/vial,OSL Pharma Limited,350.0,,2 gm,vial
ceftriaxone-sodium,Bioxon,IM Injection,500 mg/vial,Benham Pharmaceuticals Ltd.,130.0,,500 mg,vial
ceftriaxone-sodium,Bioxon,IV Injection,1 gm/vial,Benham Pharmaceuticals Ltd.,185.0,,1 gm,vial
ceftriaxone-sodium,Bioxon,IV Injection,2 gm/vial,Benham Pharmaceuticals Ltd.,290.0,,2 gm,vial
ceftriaxone-sodium,Cefaz,IV Injection,1 gm/vial,Astra Biopharmaceuticals Ltd.,190.0,,1 gm,vial
ceftriaxone-sodium,Cefaz,IV Injection,2 gm/vial,Astra Biopharmaceuticals Ltd.,300.0,,2 gm,vial
ceftriaxone-sodium,Cefixon,IV Injection,500 mg/vial,Techno Drugs Ltd.,150.0,,500 mg,vial
ceftriaxone-sodium,Cefixon,IV Injection,1 gm/vial,Techno Drugs Ltd.,200.0,,1 gm,vial
ceftriaxone-sodium,Cefixon,IV Injection,2 gm/vial,Techno Drugs Ltd.,300.0,,2 gm,vial
ceftriaxone-sodium,Cefone,IM Injection,250 mg/vial,Sharif Pharmaceuticals Ltd.,90.28,,250 mg,vial
ceftriaxone-sodium,Cefone,IM Injection,500 mg/vial,Sharif Pharmaceuticals Ltd.,120.37,,500 mg,vial
ceftriaxone-sodium,Cefone,IV Injection,1 gm/vial,Sharif Pharmaceuticals Ltd.,180.54,,1 gm,vial
ceftriaxone-sodium,Cefone,IV Injection,2 gm/vial,Sharif Pharmaceuticals Ltd.,260.79,,2 gm,vial
ceftriaxone-sodium,Cefoxguard,IM Injection,500 mg/vial,Guardian Healthcare Ltd.,120.0,,500 mg,vial
ceftriaxone-sodium,Cefoxguard,IV Injection,2 gm/vial,Guardian Healthcare Ltd.,300.0,,2 gm,vial
ceftriaxone-sodium,Ceftizone,IM Injection,250 mg/vial,Renata PLC,100.38,,250 mg,vial
ceftriaxone-sodium,Ceftizone,IM Injection,500 mg/vial,Renata PLC,140.53,,500 mg,vial
ceftriaxone-sodium,Ceftizone,IM Injection,1 gm/vial,Renata PLC,250.0,,1 gm,vial
ceftriaxone-sodium,Ceftizone,IV Injection,250 mg/vial,Renata PLC,100.38,,250 mg,vial
ceftriaxone-sodium,Ceftizone,IV Injection,500 mg/vial,Renata PLC,140.53,,500 mg,vial
ceftriaxone-sodium,Ceftizone,IV Injection,1 gm/vial,Renata PLC,250.0,,1 gm,vial
ceftriaxone-sodium,Ceftizone,IV Injection,2 gm/vial,Renata PLC,400.0,,2 gm,vial
ceftriaxone-sodium,Ceftobac,IM Injection,500 mg/vial,Novatek Pharmaceuticals Ltd.,120.0,,500 mg,vial
ceftriaxone-sodium,Ceftobac,IV Injection,1 gm/vial,Novatek Pharmaceuticals Ltd.,160.0,,1 gm,vial
ceftriaxone-sodium,Ceftobac,IV Injection,2 gm/vial,Novatek Pharmaceuticals Ltd.,300.0,,2 gm,vial
ceftriaxone-sodium,Ceftriaid,IM Injection,500 mg/vial,Labaid Pharma Ltd.,200.0,,500 mg,vial
ceftriaxone-sodium,Ceftriaid,IV Injection,1 gm/vial,Labaid Pharma Ltd.,320.0,,1 gm,vial
ceftriaxone-sodium,Ceftriaid,IV Injection,2 gm/vial,Labaid Pharma Ltd.,490.0,,2 gm,vial
ceftriaxone-sodium,Ceftriaid,IV Injection,500 mg/vial,Labaid Pharma Ltd.,200.0,,500 mg,vial
ceftriaxone-sodium,Ceftrimax,IM Injection,500 mg/vial,Veritas Pharmaceuticals Ltd.,130.39,,500 mg,vial
ceftriaxone-sodium,Ceftrimax,IM Injection,1 gm/vial,Veritas Pharmaceuticals Ltd.,190.57,,1 gm,vial
ceftriaxone-sodium,Ceftrimax,IV Injection,1 gm/vial,Veritas Pharmaceuticals Ltd.,190.57,,1 gm,vial
ceftriaxone-sodium,Ceftrimax,IV Injection,2 gm/vial,Veritas Pharmaceuticals Ltd.,300.9,,2 gm,vial
ceftriaxone-sodium,Ceftrimax,IV Injection,500 mg/vial,Veritas Pharmaceuticals Ltd.,130.39,,500 mg,vial
ceftriaxone-sodium,Ceftrix,IM Injection,250 mg/vial,Novo Healthcare and Pharma Ltd.,90.27,,250 mg,vial
ceftriaxone-sodium,Ceftrix,IM Injection,500 mg/vial,Novo Healthcare and Pharma Ltd.,130.39,,500 mg,vial
ceftriaxone-sodium,Ceftrix,IV Injection,1 gm/vial,Novo Healthcare and Pharma Ltd.,160.48,,1 gm,vial
ceftriaxone-sodium,Ceftrix,IV Injection,2 gm/vial,Novo Healthcare and Pharma Ltd.,300.9,,2 gm,vial
ceftriaxone-sodium,Ceftron,IM Injection,250 mg/vial,Square Pharmaceuticals PLC,130.0,,250 mg,vial
ceftriaxone-sodium,Ceftron,IM Injection,500 mg/vial,Square Pharmaceuticals PLC,200.0,,500 mg,vial
ceftriaxone-sodium,Ceftron,IM Injection,1 gm/vial,Square Pharmaceuticals PLC,280.0,,1 gm,vial
ceftriaxone-sodium,Ceftron,IV Injection,250 mg/vial,Square Pharmaceuticals PLC,130.0,,250 mg,vial
ceftriaxone-sodium,Ceftron,IV Injection,500 mg/vial,Square Pharmaceuticals PLC,200.0,,500 mg,vial
ceftriaxone-sodium,Ceftron,IV Injection,1 gm/vial,Square Pharmaceuticals PLC,280.0,,1 gm,vial
ceftriaxone-sodium,Ceftron,IV Injection,2 gm/vial,Square Pharmaceuticals PLC,400.0,,2 gm,vial
ceftriaxone-sodium,Cetaxone,IV Injection,1 gm/vial,Euro Pharma Ltd.,190.0,,1 gm,vial
ceftriaxone-sodium,Cetaxone,IV Injection,2 gm/vial,Euro Pharma Ltd.,300.0,,2 gm,vial
ceftriaxone-sodium,Dicephin,IM Injection,250 mg/vial,Drug International Ltd.,100.3,,250 mg,vial
ceftriaxone-sodium,Dicephin,IM Injection,500 mg/vial,Drug International Ltd.,130.45,,500 mg,vial
ceftriaxone-sodium,Dicephin,IM Injection,1 gm/vial,Drug International Ltd.,190.6,,1 gm,vial
ceftriaxone-sodium,Dicephin,IV Injection,250 mg/vial,Drug International Ltd.,100.3,,250 mg,vial
ceftriaxone-sodium,Dicephin,IV Injection,500 mg/vial,Drug International Ltd.,130.45,,500 mg,vial
ceftriaxone-sodium,Dicephin,IV Injection,1 gm/vial,Drug International Ltd.,190.6,,1 gm,vial
ceftriaxone-sodium,Dicephin,IV Injection,2 gm/vial,Drug International Ltd.,301.0,,2 gm,vial
ceftriaxone-sodium,Enocef,IV Injection,1 gm/vial,Synovia Pharma PLC.,201.35,,1 gm,vial
ceftriaxone-sodium,Enocef,IM Injection,1 gm/vial,Synovia Pharma PLC.,201.35,,1 gm,vial
ceftriaxone-sodium,Enocef,IM Injection,250 mg/vial,Synovia Pharma PLC.,100.38,,250 mg,vial
ceftriaxone-sodium,Enocef,IV Injection,250 mg/vial,Synovia Pharma PLC.,100.38,,250 mg,vial
ceftriaxone-sodium,Enocef,IV Injection,500 mg/vial,Synovia Pharma PLC.,150.57,,500 mg,vial
ceftriaxone-sodium,Enocef,IM Injection,500 mg/vial,Synovia Pharma PLC.,150.57,,500 mg,vial
ceftriaxone-sodium,Eracef,IM Injection,250 mg/vial,Popular Pharmaceuticals Ltd.,100.0,,250 mg,vial
ceftriaxone-sodium,Eracef,IM Injection,500 mg/vial,Popular Pharmaceuticals Ltd.,130.0,,500 mg,vial
ceftriaxone-sodium,Eracef,IM Injection,1 gm/vial,Popular Pharmaceuticals Ltd.,190.0,,1 gm,vial
ceftriaxone-sodium,Eracef,IV Injection,500 mg/vial,Popular Pharmaceuticals Ltd.,130.0,,500 mg,vial
ceftriaxone-sodium,Eracef,IV Injection,1 gm/vial,Popular Pharmaceuticals Ltd.,190.0,,1 gm,vial
ceftriaxone-sodium,Eracef,IV Injection,2 gm/vial,Popular Pharmaceuticals Ltd.,301.14,,2 gm,vial
ceftriaxone-sodium,Exephin,IM Injection,250 mg/vial,Incepta Pharmaceuticals Ltd.,115.0,,250 mg,vial
ceftriaxone-sodium,Exephin,IM Injection,500 mg/vial,Incepta Pharmaceuticals Ltd.,149.0,,500 mg,vial
ceftriaxone-sodium,Exephin,IM Injection,1 gm/vial,Incepta Pharmaceuticals Ltd.,215.0,,1 gm,vial
ceftriaxone-sodium,Exephin,IV Injection,250 mg/vial,Incepta Pharmaceuticals Ltd.,115.0,,250 mg,vial
ceftriaxone-sodium,Exephin,IV Injection,500 mg/vial,Incepta Pharmaceuticals Ltd.,130.0,,500 mg,vial
ceftriaxone-sodium,Exephin,IV Injection,1 gm/vial,Incepta Pharmaceuticals Ltd.,215.0,,1 gm,vial
ceftriaxone-sodium,Exephin,IV Injection,2 gm/vial,Incepta Pharmaceuticals Ltd.,340.0,,2 gm,vial
ceftriaxone-sodium,Forticef,IV Injection,1 gm/vial,Albion Laboratories Limited,216.0,,1 gm,vial
ceftriaxone-sodium,Frixon,IM Injection,500 mg/vial,Maks Drug Limited,190.0,,500 mg,vial
ceftriaxone-sodium,Frixon,IV Injection,500 mg/vial,Maks Drug Limited,190.0,,500 mg,vial
ceftriaxone-sodium,Frixon,IV Injection,1 gm/vial,Maks Drug Limited,300.0,,1 gm,vial
ceftriaxone-sodium,Frixon,IM Injection,1 gm/vial,Maks Drug Limited,300.0,,1 gm,vial
ceftriaxone-sodium,Frixon,IV Injection,2 gm/vial,Maks Drug Limited,450.0,,2 gm,vial
